,accelx,accely,accelz,mag, steps, total_t
11.65,0.52,-0.96,-0.02,1.091970696,,
11.7,0.52,-1.05,-0.06,1.173243368,,
11.75,0.43,-0.89,0.04,0.989242134,,
11.8,0.51,-0.76,0.15,0.927469676,,
11.85,0.45,-0.83,0.27,0.98198778,,
11.9,0.44,-1.06,0.4,1.215401168,,
11.95,0.51,-1.07,0.45,1.267872233,,
12,0.49,-0.82,0.46,1.060235823,,
12.05,0.34,-0.88,0.22,0.968710483,,
12.1,0.28,-0.77,0.12,0.828070045,,
12.15,0.45,-0.93,0.09,1.037063161,,
12.2,0.54,-0.96,0.01,1.101498979,,
12.25,0.8,-0.95,0.2,1.257974563,,
12.3,0.95,-0.96,0.37,1.400357097,,
12.35,0.77,-0.93,0.25,1.233004461,,
12.4,0.5,-1.15,0.18,1.266846478,,
12.45,1.04,-1.02,0.4,1.510629008,,
12.5,0.95,-0.68,0.3,1.206192356,,
12.55,0.77,-0.96,0.2,1.246795893,,
12.6,0.84,-0.82,0.19,1.189159367,,
12.65,0.63,-0.93,0.03,1.123699248,,
12.7,0.61,-1.04,0,1.20569482,,
12.75,0.53,-1.13,0.01,1.248158644,,
12.8,0.4,-0.98,-0.01,1.058536726,,
12.85,0.44,-1.02,0.05,1.111980216,,
12.9,0.48,-0.96,0.25,1.102043556,,
12.95,0.42,-1.01,0.32,1.139692941,,
13,0.42,-0.91,0.52,1.129114697,,
13.05,0.43,-0.68,0.47,0.931772504,,
13.1,0.34,-1,0.26,1.087749971,,
13.15,0.22,-0.8,0.17,0.846935653,,
13.2,0.39,-0.8,0.16,0.904267659,,
13.25,0.52,-0.82,0.16,0.984073168,,
13.3,0.62,-0.8,0.23,1.037930634,,
13.35,0.82,-1.07,0.4,1.406164997,,
13.4,0.73,-1.09,0.27,1.339365521,,
13.45,0.83,-1.02,0.46,1.393161871,,
13.5,1.01,-0.97,0.42,1.461984952,,
13.55,0.73,-0.87,0.28,1.169700816,,
13.6,0.74,-0.92,0.15,1.190168055,,
13.65,0.73,-0.97,0.14,1.222047462,,
13.7,0.51,-0.99,-0.05,1.114764549,,
13.75,0.47,-1.07,-0.03,1.169059451,,
13.8,0.37,-0.94,-0.02,1.010395962,,
13.85,0.39,-0.91,-0.02,0.990252493,,
13.9,0.47,-0.92,0.08,1.036194962,,
13.95,0.52,-0.94,0.17,1.087612063,,
14,0.65,-1.16,0.43,1.397497764,,
14.05,0.54,-0.86,0.48,1.123209687,,
14.1,0.22,-1.14,0.3,1.199166377,,
14.15,0.14,-0.89,0.15,0.913345499,,
14.2,0.4,-0.81,0.23,0.932201695,,
14.25,0.63,-0.69,0.23,0.962236977,,
14.3,0.63,-0.72,0.25,0.988837702,,
14.35,0.62,-0.78,0.27,1.032327467,,
14.4,0.69,-0.85,0.33,1.143459663,,
14.45,0.68,-0.95,0.22,1.188822947,,
14.5,0.79,-1.18,0.31,1.453478586,,
14.55,0.83,-0.93,0.27,1.275421499,,
14.6,0.79,-0.95,0.21,1.253275708,,
14.65,0.76,-0.92,0.17,1.205363016,,
14.7,0.67,-0.95,0.09,1.165975986,,
14.75,0.52,-1.01,-0.02,1.136177803,,
