,accelx,accely,accelz,mag, steps, time
13.45,0.8,-1.88,0.3,2.065042372,,
13.5,0.51,-2,0.11,2.066930091,,
13.55,0.11,-1.65,0.31,1.682468425,,
13.6,0.36,-0.99,0.24,1.080416586,,
13.65,0.32,-0.77,0.11,0.841070746,,
13.7,0.21,-0.63,0.06,0.666783323,,
13.75,0.15,-0.52,0.03,0.542033209,,
13.8,0.26,-0.57,0.11,0.636081756,,
13.85,0.27,-0.92,0.05,0.960104161,,
13.9,0.32,-1.91,-0.26,1.953995906,,
13.95,1.58,-2,-0.24,2.560078124,,
14,1.54,-0.98,0.61,1.924603855,,
14.05,0.34,-1.14,-0.14,1.197831374,,
14.1,0.47,-1.02,-0.23,1.146385624,,
14.15,0.75,-0.64,-0.23,1.012422837,,
14.2,0.89,-0.32,-0.11,0.952155449,,
14.25,0.89,-0.41,0.21,1.002147694,,
14.3,0.93,-0.45,0.3,1.075825265,,
14.35,1.15,-0.7,0.57,1.461984952,,
14.4,1.43,-1.25,0.58,1.9859003,,
14.45,0.93,-1.71,0.43,1.993464321,,
14.5,0.5,-1.8,0.3,1.892088793,,
14.55,0.32,-1.95,0.24,1.990602924,,
14.6,0.34,-1.14,0.15,1.199041284,,
14.65,0.35,-0.79,0.18,0.882609767,,
14.7,0.31,-0.67,0.11,0.746391318,,
14.75,0.18,-0.56,0.03,0.588982173,,
14.8,0.16,-0.49,0.03,0.516333226,,
14.85,0.37,-0.55,0.14,0.677495387,,
14.9,0.37,-0.96,0.23,1.054229577,,
14.95,0.42,-1.91,0.12,1.959311103,,
15,1.05,-2,0.22,2.269559429,,
15.05,0.93,-0.97,0.62,1.479932431,,
15.1,0.34,-0.94,0.11,1.005634128,,
15.15,0.46,-0.99,-0.16,1.103313192,,
15.2,0.68,-0.71,-0.13,0.991665266,,
15.25,0.68,-0.43,-0.17,0.822313809,,
15.3,0.73,-0.25,0,0.771621669,,
15.35,0.78,-0.29,0.28,0.878009112,,
15.4,1.16,-0.62,0.59,1.441561653,,
15.45,0.9,-0.87,0.16,1.261942946,,
15.5,0.89,-1.39,0.38,1.693694187,,
15.55,1.14,-1.4,0.59,1.89939464,,
15.6,0.94,-1.35,0.36,1.683953681,,
15.65,0.83,-1.62,0.15,1.826417258,,
15.7,0.33,-1.37,0,1.409184161,,
15.75,0.28,-1.07,0.02,1.106209745,,
15.8,0.32,-0.88,-0.01,0.936429389,,
15.85,0.27,-0.66,-0.06,0.715611627,,
15.9,0.29,-0.56,-0.04,0.631901891,,
15.95,0.42,-0.71,0.05,0.82643814,,
16,0.46,-0.95,0.12,1.062308806,,
16.05,0.55,-1.34,0.23,1.466628787,,
16.1,0.82,-1.79,0.52,2.036393872,,
16.15,0.7,-1.1,0.74,1.499199787,,
16.2,0.4,-1.08,0.26,1.180677771,,
16.25,0.26,-0.97,0.09,1.008265838,,
16.3,0.57,-0.89,0.14,1.06611444,,
16.35,0.91,-0.62,0.2,1.119151464,,
16.4,0.94,-0.42,0.33,1.081156788,,
16.45,0.78,-0.43,0.42,0.984733466,,
16.5,0.8,-0.73,0.4,1.154512884,,
16.55,0.75,-1,0.3,1.285496013,,
16.6,0.81,-1.33,0.52,1.64176734,,
16.65,0.89,-1.57,0.44,1.85757907,,
16.7,0.54,-1.37,0.17,1.482362978,,
16.75,0.35,-1.31,0.08,1.358307771,,
16.8,0.4,-1.1,0.06,1.172006826,,
16.85,0.42,-0.86,0.02,0.957287836,,
16.9,0.4,-0.8,-0.02,0.89465077,,
16.95,0.37,-0.65,-0.04,0.748999332,,
17,0.4,-0.62,0.02,0.738105683,,
17.05,0.41,-0.72,0.05,0.830060239,,
17.1,0.42,-0.95,0.15,1.04947606,,
17.15,0.4,-1.36,0.27,1.443086969,,
17.2,0.62,-1.42,0.62,1.668891848,,
17.25,0.47,-1.12,0.76,1.432794472,,
17.3,0.4,-1.22,0.46,1.36381817,,
17.35,0.13,-1.08,0.26,1.118436409,,
17.4,0.76,-0.81,0.23,1.134283915,,
17.45,1.01,-0.54,0.34,1.194696614,,
17.5,0.87,-0.43,0.29,1.012867217,,
17.55,0.7,-0.54,0.29,0.930430008,,
17.6,0.69,-1.01,0.35,1.272281415,,
17.65,0.61,-1.18,0.22,1.34643975,,
17.7,0.92,-1.61,0.48,1.915437287,,
17.75,0.75,-1.21,0.25,1.445371924,,
17.8,0.45,-1.18,0.14,1.270629765,,
17.85,0.49,-1.1,0.16,1.214783931,,
17.9,0.42,-0.94,0.13,1.037737925,,
17.95,0.26,-0.84,0.04,0.880227243,,
18,0.19,-0.75,-0.03,0.774273853,,
18.05,0.32,-0.58,-0.05,0.664304147,,
18.1,0.54,-0.73,0.08,0.911537163,,
18.15,0.53,-0.98,0.15,1.124188596,,
18.2,0.64,-1.22,0.24,1.398427689,,
18.25,0.68,-1.43,0.45,1.646147017,,
18.3,0.19,-0.88,0.51,1.034698024,,
18.35,0.35,-1.02,0.45,1.168503316,,
18.4,0.49,-0.91,0.37,1.097770468,,
18.45,0.63,-0.85,0.33,1.108286966,,
18.5,0.81,-0.68,0.37,1.12044634,,
18.55,0.67,-0.58,0.38,0.964209521,,
18.6,0.61,-0.59,0.4,0.938189746,,
18.65,0.58,-0.84,0.4,1.096357606,,
18.7,0.51,-0.95,0.33,1.127608088,,
18.75,0.74,-1.3,0.51,1.580411339,,
18.8,0.81,-1.4,0.53,1.702057578,,
18.85,0.42,-1.18,0.23,1.273459854,,
18.9,0.59,-1.13,0.25,1.299038106,,
18.95,0.42,-1.04,0.12,1.128007092,,
19,0.46,-0.82,0.04,0.941063228,,
19.05,0.41,-0.81,0.04,0.908735385,,
19.1,0.33,-0.65,0.01,0.729040465,,
19.15,0.35,-0.67,0.08,0.760131568,,
19.2,0.42,-0.9,0.14,1.002995513,,
19.25,0.41,-1.2,0.22,1.287050893,,
19.3,0.53,-1.63,0.41,1.762356377,,
19.35,0.56,-1.22,0.83,1.578258534,,
19.4,0.29,-1.09,0.4,1.196745587,,
19.45,0.2,-1.02,-0.03,1.039855759,,
19.5,0.37,-0.91,-0.12,0.989646401,,
19.55,0.88,-0.79,-0.07,1.184651848,,
19.6,1.01,-0.44,0.07,1.10390217,,
19.65,0.68,-0.4,0.12,0.797997494,,
19.7,0.73,-0.49,0.24,0.911372591,,
19.75,0.83,-0.9,0.33,1.267990536,,
19.8,0.65,-1.05,0.38,1.292052631,,
19.85,0.96,-1.34,0.71,1.794798039,,
19.9,0.67,-0.89,0.58,1.255945859,,
19.95,0.75,-1.12,0.58,1.467412689,,
20,0.69,-1.34,0.37,1.551966494,,
20.05,0.43,-1.09,0.15,1.181312829,,
20.1,0.36,-0.93,0.12,1.004440143,,
20.15,0.29,-0.84,0.06,0.890673902,,
20.2,0.17,-0.71,-0.02,0.730342385,,
20.25,0.38,-0.7,0.09,0.801560977,,
20.3,0.31,-0.91,0.04,0.962185013,,
20.35,0.53,-1.1,0.2,1.237295438,,
20.4,0.53,-1.43,0.21,1.539447953,,
20.45,0.69,-1.33,0.61,1.617745345,,
20.5,0.37,-0.89,0.47,1.072333903,,
20.55,0.13,-1.06,0.02,1.068129206,,
20.6,0.27,-0.94,-0.09,0.982140519,,
20.65,0.8,-0.86,-0.05,1.175627492,,
